"Title" "Artist" "danceability" "energy" "loudness" "speechiness" "acousticness" "instrumentalness" "valence" "tempo" "duration" "Genre"
"It's Five O'Clock Somewhere" "Alan Jackson" 0.713 0.768 -6.702 0.0363 0.22 0 0.878 125.203 230.267 "Country"
"There Goes My Life" "Kenny Chesney" 0.577 0.483 -8.141 0.0324 0.0337 6.22e-06 0.218 135.77 302.667 "Country"
"Bless The Broken Road" "Rascal Flatts" 0.599 0.433 -6.336 0.0265 0.693 8.99e-05 0.384 135.948 226.68 "Country"
"Need You Now" "Lady Antebellum" 0.587 0.622 -5.535 0.0303 0.0927 0.000636 0.231 107.943 277.573 "Country"
"Jesus, Take the Wheel" "Carrie Underwood" 0.359 0.518 -3.537 0.0302 0.665 0 0.135 76.572 226.493 "Country"
"Life Is A Highway - Remaste..." "Rascal Flatts" 0.582 0.951 -3.824 0.0675 0.00288 0 0.672 103.131 276.267 "Country"
"Carrying Your Love With Me" "George Strait" 0.63 0.473 -10.526 0.0269 0.235 0 0.357 138.218 232.427 "Country"
"I Cross My Heart - Pure Cou..." "George Strait" 0.528 0.432 -10.222 0.0258 0.293 6.94e-05 0.311 130.91 212 "Country"
"Don't Take The Girl" "Tim McGraw" 0.439 0.454 -8.669 0.0308 0.279 0 0.354 204.263 249.36 "Country"
"Should've Been A Cowboy" "Toby Keith" 0.619 0.672 -7.786 0.0356 0.471 3.15e-06 0.694 133.402 211.307 "Country"
"Chattahoochee" "Alan Jackson" 0.606 0.706 -9.665 0.0379 0.362 0 0.819 174.533 148.16 "Country"
"Boot Scootin' Boogie" "Brooks & Dunn" 0.656 0.817 -4.296 0.0435 0.22 0 0.862 130.446 198.02 "Country"
"Don't Rock the Jukebox" "Alan Jackson" 0.641 0.637 -10.92 0.0262 0.0495 0.000138 0.793 147.502 171.067 "Country"
"Islands In the Stream" "Dolly Parton" 0.595 0.473 -9.828 0.0347 0.702 0 0.716 204.016 249.293 "Country"
"I'll Still Be Loving You" "Restless Heart" 0.546 0.251 -14.753 0.0295 0.723 0 0.271 168.554 258.493 "Country"
"Forever And Ever, Amen" "Randy Travis" 0.701 0.678 -8.491 0.0264 0.302 1.55e-05 0.708 90.607 212.587 "Country"
"I Was Country When Country ..." "Kenny Chesney" 0.488 0.611 -5.745 0.0507 0.519 0 0.518 208.071 215.12 "Country"
"When You Say Nothing at All" "Keith Whitley" 0.673 0.346 -12.803 0.0245 0.721 4.48e-06 0.396 80.012 222.493 "Country"
"I Will Always Love You" "Dolly Parton" 0.446 0.142 -13.498 0.0335 0.96 0.00114 0.156 135.724 176.093 "Country"
"God Bless The USA" "Lee Greenwoood" 0.388 0.408 -8.671 0.0289 0.149 0 0.167 133.887 196.32 "Country"
"Brahms: Symphony No.3 in F,..." "Johannes Brahms" 0.0746 0.0327 -27.191 0.0412 0.959 0.886 0.0504 75.083 403.333 "Classical"
"Jazz Suite No. 2 : 6. Waltz II" "Dmitri Shostakovich" 0.186 0.184 -17.948 0.0345 0.972 0.882 0.352 186.523 225.707 "Classical"
"Swan Lake, Op.20 Suite : 1...." "Pyotr Ilyich Tcha..." 0.0955 0.215 -15.743 0.0369 0.929 0.941 0.0604 78.623 184.667 "Classical"
"An der schönen blauen Donau..." "Johann Strauss II" 0.278 0.149 -16.253 0.0314 0.974 0.898 0.143 99.769 579.173 "Classical"
"Hungarian Dance No.5 In G M..." "Johannes Brahms" 0.358 0.167 -16 0.0354 0.899 0.96 0.601 144.561 138.707 "Classical"
"Die Zauberflöte (The Magic ..." "Wolfgang Amadeus ..." 0.44 0.205 -13.323 0.0555 0.982 0.0375 0.196 144.378 176.04 "Classical"
"La traviata : \"Libiamo ne'l..." "Giuseppe Verdi" 0.396 0.237 -16.518 0.0619 0.959 1.16e-06 0.255 110.858 169.333 "Classical"
"Nutcracker Suite, Op.71a : ..." "Pyotr Ilyich Tcha..." 0.18 0.135 -18.605 0.0358 0.929 0.938 0.0903 92.865 359.64 "Classical"
"Le Carnaval des Animaux : A..." "Camille Saint-Saëns" 0.199 0.0366 -35.369 0.0428 0.984 0.945 0.136 129.793 151.067 "Classical"
"Concerto No. 21 in C Major ..." "Wolfgang Amadeus ..." 0.154 0.0277 -27.577 0.0345 0.977 0.957 0.114 176.608 435.32 "Classical"
"Piano Sonata No.14 In C Sha..." "Ludwig van Beethoven" 0.294 0.00446 -38.793 0.0427 0.995 0.912 0.231 132.349 426.8 "Classical"
"Trois Gymnopédies: No. 1" "Erik Satie" 0.431 0.00576 -36.804 0.0514 0.996 0.94 0.456 82.252 189.507 "Classical"
"Bagatelle in A minor, WoO 5..." "Ludwig van Beethoven" 0.34 0.0159 -30.997 0.0508 0.995 0.887 0.283 124.389 208.133 "Classical"
"Polonaise No.6 in A flat, O..." "Frédéric Chopin" 0.284 0.257 -15.909 0.0402 0.99 0.87 0.265 76.843 427 "Classical"
"Nocturne No.2 in E flat, Op..." "Frédéric Chopin" 0.331 0.00922 -30.88 0.041 0.993 0.953 0.0713 132.883 242.587 "Classical"
"Schubert: Ave Maria, \"Ellen..." "Franz Schubert" 0.27 0.176 -20.285 0.0551 0.995 0.0449 0.0699 177.406 366.107 "Classical"
"Music To Goethe's Tragedy \"..." "Ludwig van Beethoven" 0.307 0.11 -16.082 0.0413 0.958 0.79 0.0844 149.939 565 "Classical"
"Symphony No.40 in G minor, ..." "Wolfgang Amadeus ..." 0.342 0.176 -18.484 0.039 0.977 0.877 0.156 97.257 519 "Classical"
